Date,Open,High,Low,Close ,Adj Close ,Volume
44895,16445.48,17190.94,16445.48,17168.57,17168.57,29523576583
44894,16217.64,16522.26,16139.4,16444.98,16444.98,23581685468
44893,16440.22,16482.93,16054.53,16217.32,16217.32,27743025156
44892,16463.88,16594.41,16437.03,16444.63,16444.63,20443898509
44891,16521.58,16666.86,16416.23,16464.28,16464.28,18000008764
44890,16602.27,16603.32,16388.4,16521.84,16521.84,18678255976
44889,16611.64,16771.47,16501.77,16604.46,16604.46,26129037414
44888,16195.59,16638.19,16170.5,16610.71,16610.71,32958875628
44887,15782.3,16253.05,15656.61,16189.77,16189.77,30726828760
44886,16291.22,16291.22,15599.05,15787.28,15787.28,37429485518
44885,16712.92,16746.78,16248.69,16291.83,16291.83,21313378652
44884,16696.22,16797.88,16570.41,16711.55,16711.55,16106223492
44883,16687.91,16947.06,16564.61,16697.78,16697.78,26862218609
44882,16670.43,16726.44,16460.68,16687.52,16687.52,27868914022
44881,16884.34,16960.29,16430.11,16669.44,16669.44,33925512989
44880,16617.48,17051.96,16542.55,16884.61,16884.61,36599436183
44879,16352.03,17109.32,15872.94,16618.2,16618.2,49630243054
44878,16799.72,16920.77,16320.63,16353.37,16353.37,27209183682
44877,17036.88,17066.68,16651.78,16799.19,16799.19,29717699419
44876,17583.25,17650.94,16543.48,17034.29,17034.29,55871616488
44875,15883.16,18054.31,15834.02,17586.77,17586.77,83202283721
44874,18543.76,18590.46,15682.69,15880.78,15880.78,1.02905E+11
44873,20600.67,20664.61,17603.54,18541.27,18541.27,1.18992E+11
